Sex,Length,Diameter,Height,Shell Mass,Visceral Fat Mass,Body Fat Mass,Age
F,1.375,1.0625,0.3625,7.5126175,4.252425,8.4198015,9
M,1.775,1.3875,0.4875,14.0330025,10.67358675,26.80445225,12
M,1.6,1.2125,0.4,8.03708325,6.36446275,12.927372,9
I,1.1125,0.8375,0.25,3.13261975,2.438057,7.78193775,7
M,1.425,1.125,0.3625,8.06543275,6.33611325,11.35397475,10
I,1.3375,1.05,0.3625,7.087375,5.57067675,11.283101,17
M,0.6375,0.4875,0.1625,0.7654365,0.510291,0.89300925,8
M,1.4125,1.0625,0.25,5.10291,4.706017,8.66077225,12
I,1.5375,1.225,0.3875,9.7805775,5.5281525,11.75086775,13
M,1.0375,0.75,0.25,2.6932025,1.94194075,4.37999775,7
I,0.8125,0.6,0.1875,1.2190285,1.82854275,2.041164,6
M,0.5,0.35,0.1375,0.283495,0.226796,0.41106775,5
F,1.325,1.0125,0.325,5.2446575,4.43669675,7.47009325,9
M,1.1375,0.8625,0.3125,3.8271825,3.01922175,4.7910655,12
M,1.4,1.1,0.4,7.37087,5.88252125,9.36950975,10
F,1.4375,1.1625,0.4375,9.922325,5.726599,13.42348825,9
F,1.0625,0.8375,0.2375,3.5436875,1.7293195,3.41611475,10
I,1,0.775,0.25,2.4097075,2.0128145,3.005047,7
I,0.9375,0.7125,0.225,1.91359125,1.68679525,3.3735905,6
M,1.2375,0.9875,0.3125,4.3941725,3.81300775,6.73300625,9
M,1.6,1.275,0.475,13.324265,10.2341695,17.61921425,14
F,1.4125,1.125,0.4375,8.731646,6.95980225,15.03940975,10
I,0.9625,0.725,0.2,1.8427175,1.40330025,3.458639,7
M,1.575,1.2125,0.45,10.489315,8.731646,14.67086625,11
M,1.475,1.1875,0.4125,8.77417025,6.917278,12.88484775,9
I,0.925,0.725,0.2375,1.8994165,1.644271,2.96252275,6
F,1.45,1.1875,0.3875,8.0796075,6.520385,12.20445975,10
M,1.425,1.125,0.35,7.12989925,4.55009475,13.5227115,8
F,1.525,1.1875,0.4,10.7444605,6.3219385,10.87203325,10
F,1.6625,1.3875,0.4875,10.20582,10.035723,16.4710595,17
I,0.975,0.775,0.2125,2.2396105,1.97029025,5.1312595,7
I,1.3375,1.125,0.3875,7.35669525,4.195726,10.36174225,10
M,1.25,0.95,0.3375,5.10291,3.58621175,6.50621025,12
M,1.5,1.15,0.3875,8.3631025,5.3580555,12.62970225,11
M,1.4125,1.1,0.4375,9.2135875,5.4714535,8.788345,14
I,1.1875,0.875,0.2875,3.96893,2.8066005,6.73300625,7
M,1.3125,1.0125,0.3,5.6982495,4.40834725,10.64523725,9
I,0.8625,0.6625,0.25,1.8427175,1.51669825,3.1467945,-1
I,0.55,0.4,0.125,0.4252425,0.283495,0.60951425,4
I,1.25,0.9625,0.3,4.6776675,3.69960975,5.5848515,8
F,1.45,1.075,0.425,11.77921725,9.185238,18.52639825,10
M,0.775,0.5875,0.15,1.13398,0.9355335,1.17650425,11
I,0.9,0.675,0.2125,1.814368,0.9922325,2.48058125,4
I,1.125,0.9,0.325,3.8838815,3.6003865,5.4147545,7
I,0.875,0.675,0.1875,1.8427175,1.020582,2.83495,6
M,1.25,0.975,0.3625,6.23689,3.742134,7.7394135,11
M,1.4,1.0875,0.45,7.087375,5.783298,10.20582,11
M,1.55,1.225,0.375,10.0640725,8.561549,13.05494475,9
M,1.1125,0.875,0.3,3.8271825,2.70737725,5.443104,8
F,1.5875,1.2625,0.425,10.3475675,8.4198015,17.1514475,15
I,1.1125,0.8625,0.3,3.685435,2.33883375,4.7910655,7
F,1.6625,1.275,0.4375,9.2135875,8.46232575,19.1359125,10
I,1,0.75,0.2875,2.65067825,2.05533875,3.78465825,6
M,1.175,0.9125,0.3375,4.1106775,4.32329875,6.78970525,10
I,1.4875,1.15,0.375,6.6621325,5.45727875,10.6877615,8
M,1.3625,1.1,0.3,6.80388,4.86193925,9.85145125,12
M,1.25,0.9625,0.3375,4.35164825,3.6570855,9.05766525,7
I,0.525,0.375,0.1125,0.29766975,0.226796,0.38271825,4
M,1.3875,1.0875,0.35,6.066793,4.66349275,9.6671795,8
M,1.55,1.225,0.4,8.0796075,7.15824875,12.47378,11
M,1.5625,1.2375,0.4375,9.02931575,8.107957,16.48523425,9
I,1.1625,0.9375,0.3,3.96893,3.3735905,6.293589,9
I,1.55,1.125,0.3375,8.40562675,6.42116175,10.149121,10
I,1.075,0.825,0.2375,3.4869885,1.8427175,3.345241,7
M,0.9625,0.75,0.2375,2.4097075,1.6726205,2.50893075,9
I,0.35,0.2625,0.0875,0.1417475,0.09922325,0.1417475,4
F,0.9375,0.7375,0.275,2.93417325,1.63009625,3.55786225,7
F,1.7625,1.3875,0.4875,14.628342,11.94931425,20.14231975,12
F,1.425,1.0875,0.35,6.23689,5.1879585,9.17106325,16
I,1.1625,0.925,0.2875,4.12485225,2.65067825,4.29494925,9
M,1.2625,0.975,0.2625,5.386405,5.10291,7.35669525,11
M,1.575,1.2625,0.4125,11.509897,7.81028725,12.82814875,14
M,0.9,0.7375,0.2625,2.6932025,1.5025235,2.45223175,8
M,1.375,1.025,0.375,7.7961125,5.273007,7.994559,12
M,0.9,0.7375,0.25,2.1262125,1.48834875,1.871067,9
I,1.2125,0.9375,0.275,4.2240755,2.551455,5.71242425,8
M,1.3125,1.0375,0.3625,8.15048125,4.63514325,9.99319875,8
F,1.5125,1.2,0.4375,10.092422,6.53455975,13.65028425,9
I,0.6375,0.475,0.1875,0.7087375,0.58116475,0.97805775,5
I,1.15,0.85,0.225,3.118445,1.927766,5.08873525,8
I,1.3,1.025,0.3625,4.6776675,4.52174525,8.40562675,9
F,1.5875,1.225,0.3875,8.94426725,8.60407325,13.53688625,9
F,1.3875,1.1375,0.45,11.056305,5.5281525,8.391452,14
I,1.1375,0.8375,0.2625,3.35941575,2.608154,4.9611625,8
M,1.725,1.375,0.4875,12.20445975,10.77281,21.8007655,11
F,1.6,1.2125,0.3625,8.54737425,7.10154975,15.66309875,11
I,1.1,0.8125,0.275,3.04757125,3.38776525,7.314171,8
I,0.675,0.5125,0.125,0.8221355,0.52446575,0.850485,6
I,0.9,0.6875,0.1875,1.871067,1.247378,2.79242575,7
I,0.9375,0.7,0.25,2.05533875,1.65844575,3.30271675,12
I,1.4,1.1125,0.3875,7.7961125,5.9250455,8.51902475,16
I,0.8,0.6,0.1875,1.417475,1.00640725,2.154562,7
I,1.175,0.9375,0.3,3.8271825,2.8066005,5.556502,8
F,1.6375,1.3625,0.4625,15.5071765,8.8733935,19.46193175,11
F,1.75,1.4375,0.5125,14.64251675,11.15552825,20.68096025,13
I,0.4,0.3,0.05,0.1417475,0.12757275,0.21262125,4
F,1.4125,1,0.325,5.10291,4.72019175,8.71747125,8
M,1.4375,1.175,0.375,11.3398,5.783298,12.79979925,13
I,1.15,0.9,0.2625,3.118445,2.8066005,6.30776375,7
M,1.2625,1.1,0.35,6.7755305,5.25883225,9.68135425,8
M,1.35,1.0125,0.3875,8.221355,5.499803,9.14271375,19
I,1.15,0.8625,0.3,3.0333965,2.50893075,5.613201,7
M,1.6,1.275,0.425,11.5949455,8.7032965,16.0741665,10
F,1.6125,1.3125,0.5,14.3164975,7.27164675,17.0380495,13
I,0.7875,0.575,0.175,1.09145575,0.66621325,1.304077,5
M,1.375,1.0375,0.4375,8.23552975,6.59125875,9.34116025,15
M,1.2875,0.925,0.2875,4.139027,4.3941725,9.68135425,9
M,1.575,1.2125,0.4125,8.60407325,6.56290925,18.61144675,10
M,1.15,0.8875,0.275,3.685435,2.324659,6.0951425,12
M,1.45,1.175,0.4125,7.9095105,4.706017,15.30873,9
F,1.4375,1.075,0.3875,6.23689,5.45727875,9.87980075,9
F,1.575,1.2375,0.475,4.60679375,5.99591925,15.195332,10
M,1.65,1.275,0.4125,11.12717875,10.04989775,21.78659075,14
M,1.625,1.2875,0.4625,10.4609655,5.11708475,21.262125,12
I,1.4375,1.125,0.3625,7.37087,4.26659975,10.319218,10
M,1.55,1.2,0.375,8.7599955,7.29999625,17.81766075,12
F,1.6125,1.3,0.425,8.9867915,8.29222875,14.911837,11
M,1.3125,0.9875,0.325,6.3786375,4.03980375,9.56795625,8
I,0.4625,0.9375,0.3,4.252425,2.96252275,5.556502,6
I,1.1,0.8625,0.3,4.53592,3.061746,5.57067675,14
I,1.2125,0.925,0.325,3.855532,3.2034935,5.1312595,10
M,1.2875,0.9875,0.3375,7.144074,7.07320025,13.380964,8
M,1.5,1.2125,0.4375,10.77281,7.98038425,14.16057525,13
F,1.3125,1.0625,0.35,6.30776375,5.159609,11.92096475,10
I,1.375,1.1625,0.375,6.90310325,4.932813,13.6361095,9
F,1.0875,0.8,0.3,3.5436875,2.59397925,4.309124,11
F,1.35,1.1875,0.3875,9.63883,8.71747125,15.03940975,16
M,1.7,1.3,0.4375,10.602713,9.9506745,21.33299875,11
I,1.175,0.875,0.3125,3.33106625,3.30271675,5.386405,6
I,1.0375,0.775,0.225,2.4097075,1.74349425,3.52951275,6
I,1.1875,0.8875,0.2625,3.40194,3.16096925,5.6982495,8
I,1.175,0.875,0.3375,4.32329875,4.15320175,6.56290925,11
F,1.475,1.1375,0.4375,8.788345,6.95980225,11.0846545,10
F,1.4125,1.1375,0.375,7.37087,4.5075705,10.3475675,18
I,1.15,0.9125,0.2875,3.4869885,3.345241,6.70465675,7
I,1.0125,0.75,0.275,2.6365035,1.247378,4.876114,7
I,1.1375,0.925,0.3125,4.1106775,3.58621175,5.6982495,9
F,1.5625,1.2,0.425,10.3475675,7.881161,17.67591325,10
M,1.4375,1.125,0.4125,6.520385,5.386405,14.118051,8
M,1.1625,0.8875,0.2625,3.5436875,3.515338,6.4353365,8
F,1.525,1.075,0.35,6.23689,5.6699,12.417081,8
M,0.825,0.6125,0.2125,1.5592225,1.03475675,1.85689225,11
M,1.5375,1.3125,0.3875,10.489315,6.690482,10.4042665,20
M,0.925,0.7,0.2625,2.1262125,1.65844575,2.56562975,9
M,1.2875,0.95,0.3375,4.3941725,5.93922025,8.15048125,10
M,1.2,0.9375,0.2875,4.819415,3.01922175,9.08601475,6
F,1.325,1.0375,0.375,9.355335,4.01145425,6.7188315,20
M,1.6625,1.3,0.4375,11.1980525,9.07184,17.179797,12
I,0.4625,0.325,0.1125,0.26932025,0.21262125,0.340194,4
I,1.2375,0.8875,0.3,4.23825025,2.96252275,6.066793,8
I,0.8375,0.625,0.2,1.63009625,0.92135875,1.91359125,6
F,1.6,1.2125,0.4625,9.22776225,9.82310175,19.09338825,11
F,1.5375,1.3125,0.3875,9.7805775,6.56290925,12.1052365,11
M,1.675,1.3125,0.5,18.6256215,8.4198015,17.59086475,11
F,0.8625,0.65,0.225,2.16873675,1.23320325,2.19708625,10
M,1.0625,0.8375,0.25,3.8271825,2.608154,4.97533725,9
F,1.3,1,0.3125,5.2446575,4.86193925,8.3631025,9
F,1.5875,1.25,0.45,9.922325,8.278054,15.2803805,10
F,1.5875,1.2625,0.425,10.0640725,9.128539,14.514944,9
M,1.75,1.5,0.575,16.31513725,11.46737275,22.97726975,10
I,1.1875,0.8875,0.3375,4.06815325,2.551455,6.08096775,8
F,1.6,1.25,0.425,9.07184,7.49844275,14.04717725,12
I,1.0875,0.8125,0.3,2.6932025,2.381358,4.5075705,7
F,1.3,1.0125,0.35,7.37087,5.1879585,7.92368525,17
I,1.025,0.7875,0.2375,3.118445,0.97805775,3.231843,7
M,1.45,1.1125,0.375,8.1363065,5.51397775,12.23280925,11
F,1.675,1.35,0.4875,13.1825175,9.36950975,20.97863,11
I,1.2125,0.8875,0.325,4.762716,3.742134,6.9456275,12
F,1.3375,1.125,0.3375,7.087375,5.1312595,9.128539,13
F,1.275,0.975,0.2625,5.5281525,4.252425,5.3013565,13
F,1.45,1.125,0.375,8.20718025,6.010094,11.1413535,9
I,0.8625,0.675,0.275,1.984465,1.54504775,2.324659,7
M,1.6125,1.2875,0.4375,10.9145575,10.886208,19.12173775,14
F,1.475,1.1375,0.375,7.83863675,5.82582225,13.1825175,10
I,0.7,0.3,0.1875,0.97805775,0.8221355,1.28990225,4
F,1.2625,1.1875,0.4,8.68912175,6.7755305,14.4298955,8
F,1.4875,1.175,0.4125,8.1930055,5.40057975,13.9196045,9
F,1.125,0.9125,0.2875,3.75630875,3.4302895,9.015141,8
M,1.325,1.025,0.35,5.96756975,4.86193925,9.90815025,8
I,1.275,1.0125,0.325,4.20990075,3.27436725,8.68912175,8
I,1.2375,0.9375,0.2875,4.252425,2.9199985,6.8322295,8
F,1.3125,1.075,0.3125,5.03203625,4.706017,9.39785925,12
F,1.7375,1.3375,0.5,13.3526145,9.468733,18.9091165,11
F,1.5375,1.2375,0.4,9.14271375,9.05766525,16.48523425,12
I,1,0.7875,0.225,2.26796,1.927766,4.2807745,6
M,1.2375,0.9625,0.3375,7.427569,3.89805625,5.9817445,12
M,1.625,1.275,0.4375,10.9145575,5.74077375,14.04717725,12
F,1.525,1.225,0.425,8.3631025,6.76135575,16.03164225,15
M,1.425,1.1375,0.3875,7.8528115,4.932813,10.16329575,11
M,1.125,0.8375,0.35,4.53592,3.2601925,5.28718175,11
M,1.325,1.1,0.5125,6.9456275,6.16601625,9.07184,14
F,1.4625,1.125,0.375,6.3786375,5.7549485,13.2392165,7
M,1.3625,0.975,0.3375,4.422522,5.14543425,11.97766375,7
M,1.15,0.9,0.3375,6.6621325,3.0333965,5.54232725,14
F,1.1375,0.8875,0.3,4.252425,2.948348,5.0178615,9
I,0.9875,0.7625,0.2625,2.67902775,1.68679525,3.21766825,8
F,1.15,0.95,0.325,4.53592,4.32329875,8.50485,11
F,1.525,1.2125,0.4125,10.77281,6.577084,12.06271225,11
I,0.8125,0.6,0.1875,1.2757275,0.86465975,1.8427175,6
I,1.45,1.15,0.35,6.747181,4.6776675,11.09882925,10
M,1.2625,0.9875,0.3125,4.9611625,4.40834725,8.221355,9
M,1.5,1.15,0.3875,7.6260155,4.2240755,8.0796075,11
F,1.3,1.075,0.375,6.6621325,4.46504625,8.561549,11
F,1.2375,0.925,0.3,3.89805625,3.118445,7.93786,7
I,1.1875,0.9125,0.3,4.60679375,2.76407625,7.10154975,10
M,1.7625,1.375,0.525,13.097469,9.22776225,18.5689225,11
F,1.375,1.075,0.375,6.3219385,5.5281525,11.1980525,8
M,0.925,0.725,0.225,1.9561155,1.2757275,3.118445,10
M,0.675,0.5,0.2,1.13398,0.793786,1.31825175,6
I,1.225,0.9375,0.2875,5.00368675,3.78465825,6.44951125,8
F,1.4125,1.1,0.4,9.07184,5.48562825,10.035723,12
F,1.375,1.025,0.3625,7.087375,5.40057975,8.77417025,13
I,0.7,0.525,0.2125,0.850485,0.83631025,1.1056305,4
I,1.4125,1.0875,0.3625,7.2291225,4.479221,11.26892625,9
M,1.7125,1.275,0.4125,11.49572225,10.70193625,19.447757,10
M,1.6125,1.3,0.4375,12.246984,9.695529,22.0842605,11
I,0.6875,0.5,0.1625,0.9922325,0.3685435,1.60174675,7
M,1.6125,1.275,0.475,12.0485375,8.391452,18.27125275,12
I,1.325,1.05,0.4625,5.8116475,4.422522,8.4765005,20
M,1.4625,1.1625,0.475,11.3398,6.67630725,11.07047975,17
F,1.725,1.3875,0.5125,14.5999925,12.45960525,22.07008575,19
F,1.175,0.9,0.25,3.92640575,2.5231055,4.63514325,8
F,1.3375,1.05,0.375,6.0951425,5.273007,7.89533575,14
M,1.4625,1.15,0.375,9.1568885,6.123492,16.4710595,10
F,1.4375,1.15,0.4625,9.7805775,6.1518415,12.71475075,15
M,1.575,1.25,0.4625,10.886208,8.85921875,16.40018575,10
M,1.4625,1.2,0.4625,8.0796075,7.5126175,12.303683,10
I,0.875,0.6625,0.2,1.70097,1.190679,2.551455,7
M,0.8875,0.6625,0.2125,1.97029025,1.5025235,1.9561155,8
M,1.475,1.2125,0.3,8.221355,5.159609,11.056305,16
M,1.6125,1.2375,0.475,12.6155275,11.566596,17.33571925,12
M,1.725,1.325,0.525,10.95708175,11.4815475,20.85105725,12
F,1.4625,1.1625,0.425,7.5126175,6.350288,10.95708175,12
I,0.4125,0.2875,0.0375,0.1417475,0.0850485,0.15592225,4
I,1.35,1.05,0.35,6.4920355,4.09650275,9.08601475,9
M,1.6125,1.25,0.4375,10.942907,8.164656,16.00329275,12
M,1.5875,1.25,0.425,11.850091,8.7599955,17.3215445,12
M,0.875,0.6375,0.1625,1.70097,1.09145575,1.99863975,10
I,1.1,0.8625,0.325,3.798833,2.36718325,5.9250455,6
M,1.8,1.4,0.45,12.54465375,10.6310625,19.5895045,11
M,1.65,1.325,0.425,12.8423235,6.010094,16.74037975,15
I,0.9125,0.675,0.1875,1.984465,1.26155275,2.6932025,6
M,0.6125,0.45,0.1625,0.56699,0.38271825,0.69456275,4
M,1.3375,1.025,0.375,6.80388,5.3013565,9.7805775,11
I,0.375,0.25,0.0625,0.1417475,0.113398,0.12757275,2
I,0.8875,0.65,0.225,1.8427175,1.077281,2.1829115,8
I,0.9375,0.7125,0.225,2.26796,1.11980525,3.005047,8
M,1.55,1.2125,0.3875,7.087375,6.5487345,13.097469,10
I,0.8375,0.625,0.1875,1.5592225,1.247378,1.99863975,7
I,1.3375,1.025,0.325,5.59902625,3.47281375,7.597666,9
F,1.3625,1.075,0.35,5.6982495,4.819415,12.34620725,9
F,1.175,0.9,0.275,3.685435,3.6003865,6.7188315,6
F,1.8625,1.425,0.5375,15.819021,12.643877,32.78619675,9
M,1.0375,0.7625,0.25,2.5798045,1.43164975,4.422522,6
I,1.2125,0.9125,0.225,5.10291,3.742134,8.97261675,-1
F,1.6125,1.225,0.475,9.7805775,10.10659675,13.5794105,-1
F,1.65,1.3125,0.5125,11.623295,8.2497045,14.18892475,-1
I,1,0.75,0.225,2.26796,1.7293195,3.35941575,7
M,1.3375,1.05,0.4,6.3786375,4.649318,7.7961125,15
I,1.3375,1.125,0.3375,7.5126175,5.23048275,8.06543275,9
M,1.1875,0.9375,0.325,4.819415,3.30271675,5.88252125,10
F,1.675,1.325,0.5125,11.793392,6.98815175,18.2287285,12
M,1.6125,1.225,0.4375,9.59630575,6.73300625,18.49804875,11
F,1.325,1.0625,0.325,7.2291225,4.706017,5.99591925,13
I,0.8125,0.5,0.2,0.907184,0.63786375,1.11980525,8
F,1.5375,1.25,0.4125,9.7805775,6.917278,13.834556,17
F,1.5125,1.2125,0.4125,7.83863675,5.4714535,12.85649825,11
I,0.7375,0.55,0.175,0.9922325,0.77961125,1.45999925,6
I,1.0875,0.9375,0.275,4.1106775,2.154562,4.819415,8
F,1.2125,0.975,0.25,5.2446575,3.27436725,6.27941425,9
M,1.3375,1.05,0.4,6.19436575,4.29494925,9.865626,10
F,1.45,1.125,0.425,7.030676,6.577084,13.08329425,9
M,1.5875,1.2,0.3625,6.3786375,6.4920355,18.8524175,10
F,1.5,1.125,0.35,6.87475375,5.0178615,10.489315,10
I,1.0625,0.8125,0.2875,2.96252275,2.45223175,4.592619,7
I,1.525,1.0625,0.3875,7.767763,5.54232725,14.3731965,11
F,1.4,1.075,0.3625,6.9456275,6.59125875,11.04213025,9
M,1.5875,1.2375,0.3875,8.3631025,8.46232575,16.5277585,10
I,0.4125,0.3,0.125,0.396893,0.12757275,0.21262125,3
M,1.4875,1.15,0.35,6.4353365,6.39281225,11.94931425,9
I,0.75,0.55,0.2,1.1056305,0.75126175,1.5592225,6
F,1.3125,1.1,0.375,6.80388,5.62737575,10.44679075,12
M,1.65,1.3625,0.4625,12.8990225,7.47009325,15.03940975,16
M,1.4375,1.125,0.4125,7.257472,6.3786375,9.28446125,12
M,1.225,1.05,0.3125,6.23689,4.06815325,6.7755305,14
M,1.5625,1.25,0.425,10.035723,6.23689,13.16834275,9
I,0.7375,0.5625,0.225,0.907184,0.69456275,1.14815475,7
I,0.325,0.2375,0.0875,0.09922325,0.18427175,0.1417475,4
M,1.5375,1.1875,0.475,9.31281075,8.6465975,20.73765925,9
I,1.35,1.0125,0.375,5.386405,5.88252125,8.7032965,10
I,0.9625,0.7,0.3125,2.4097075,1.077281,2.891649,6
M,1.2625,1,0.3375,5.046211,4.2240755,10.6877615,7
F,1.1625,0.875,0.3125,3.10427025,3.005047,6.520385,6
I,1.2375,0.95,0.3,3.855532,3.41611475,6.6054335,7
F,1.0625,0.8125,0.3375,3.96893,2.2396105,4.15320175,12
F,1.4375,1.15,0.4125,6.690482,5.51397775,13.65028425,10
F,1.6875,1.375,0.4375,13.437663,10.5176645,19.674553,13
I,1.35,0.9875,0.3375,5.443104,4.3941725,7.66853975,9
F,1.7125,1.3625,0.45,13.7495075,11.113004,21.24795025,16
M,1.2,0.9125,0.325,3.9405805,3.6003865,6.81805475,8
F,1.5625,1.2875,0.3875,10.0640725,7.3425205,13.82038125,11
I,1.175,0.9375,0.2625,4.819415,3.061746,4.72019175,10
I,1.3375,1.0375,0.375,6.3786375,3.8271825,10.19164525,8
M,1.325,1.0125,0.325,5.4714535,4.819415,8.06543275,9
M,1.025,0.75,0.25,2.551455,1.9561155,3.515338,9
M,1.525,1.2,0.35,8.26387925,6.3786375,14.628342,11
M,1.325,1.0625,0.275,8.3631025,4.5642695,6.7188315,13
M,1.4,1.05,0.4875,8.0796075,5.08873525,8.57572375,14
M,1.3,0.95,0.3375,4.9611625,4.43669675,7.10154975,8
F,1.525,1.225,0.425,8.63242275,7.087375,19.97222275,11
F,1.5375,1.175,0.3875,6.973977,5.9250455,16.68368075,9
I,1.0875,0.825,0.275,3.118445,2.67902775,4.29494925,7
M,1.6875,1.2875,0.3625,9.2135875,8.4765005,17.08057375,10
I,1.2,0.95,0.3125,4.9611625,2.96252275,5.96756975,15
M,1.85,1.5125,0.5,14.84096325,16.3009625,32.47435225,13
F,1.3875,1.075,0.35,5.71242425,5.20213325,9.99319875,9
I,0.8875,0.675,0.25,1.814368,1.190679,3.118445,7
I,1.175,0.8875,0.3125,4.3941725,2.79242575,5.953395,8
I,1.1875,0.9125,0.3,3.86970675,3.10427025,7.597666,8
F,1.325,1.0625,0.325,5.8116475,5.5848515,9.2135875,8
F,1.725,1.4,0.5375,13.324265,8.4765005,19.27766,17
M,1.45,1.1375,0.3375,5.783298,4.7343665,11.4815475,10
I,1.325,1.05,0.325,5.613201,3.52951275,8.391452,8
M,1.6125,1.275,0.3875,12.190285,10.16329575,18.15785475,11
F,1.125,0.95,0.4125,7.5126175,5.42892925,7.087375,23
F,1.575,1.1875,0.375,8.9300925,8.43397625,12.2753335,8
M,1.6,1.2625,0.3875,9.808927,5.9817445,15.77649675,11
I,0.7375,0.525,0.2,0.8788345,0.737087,1.077281,8
M,1,0.775,0.275,2.83495,1.6159215,3.912231,11
M,1.5,1.175,0.4,8.6465975,5.71242425,12.5021295,10
F,1.2,0.975,0.3125,5.6699,4.3941725,6.2085405,12
I,0.5375,0.375,0.1375,0.35436875,0.2551455,0.4252425,3
M,1.575,1.2625,0.375,10.489315,6.98815175,17.93105875,11
F,1.6375,1.325,0.475,16.0174675,9.015141,13.9763035,18
I,0.825,0.6375,0.2,1.5592225,1.11980525,2.53728025,7
M,0.7,0.525,0.2,0.97805775,0.75126175,1.1623295,7
I,1.2875,1,0.35,5.06038575,4.52174525,9.90815025,8
M,1.275,1,0.35,6.520385,4.2807745,7.3425205,10
M,0.9375,0.725,0.25,2.4097075,1.60174675,3.33106625,9
I,0.85,0.625,0.175,1.5592225,1.20485375,2.948348,7
I,1.325,1.0375,0.325,4.7343665,3.1467945,11.07047975,9
F,1.35,1.05,0.3625,6.16601625,4.6209685,12.23280925,10
I,0.6125,0.475,0.15,0.7087375,0.396893,1.190679,4
M,1.5,1.1625,0.3875,9.355335,6.95980225,17.70426275,10
I,0.825,0.575,0.2125,1.43164975,0.737087,2.2396105,6
M,1.6875,1.3625,0.4625,13.2959155,8.88756825,24.834162,13
F,1.5625,1.2875,0.375,10.20582,8.68912175,14.84096325,15
I,0.8375,0.6375,0.2125,1.5592225,1.14815475,2.0128145,9
I,1.4875,1.1875,0.3875,7.81028725,5.216308,13.79203175,10
M,1.6375,1.3125,0.45,10.3475675,8.32057825,17.690088,13
F,1.5375,1.2375,0.4125,9.02931575,8.12213175,15.35125425,10
I,1.0875,0.8375,0.25,3.118445,1.984465,3.6570855,7
F,1.0625,0.825,0.2875,3.84135725,2.2963095,4.63514325,8
F,0.9625,0.7625,0.3125,2.26796,1.57339725,4.139027,10
F,1.5375,1.1875,0.4375,8.97261675,7.3425205,15.8473705,11
F,0.725,0.5625,0.1875,1.13398,0.66621325,1.45999925,5
M,1.6875,1.2625,0.4,10.81533425,10.1207715,20.97863,11
I,0.825,0.6125,0.1625,1.43164975,0.907184,1.644271,6
M,1.4375,1.0875,0.375,7.654365,4.60679375,8.3064035,17
F,1.6,1.2375,0.425,8.15048125,10.6877615,13.891255,11
F,1.675,1.3125,0.4875,11.07047975,10.432616,16.2442635,10
I,0.9875,0.7375,0.225,2.16873675,1.88524175,4.0539785,5
M,1.5125,1.225,0.35,8.9300925,5.839997,11.8784405,10
F,1.075,0.875,0.225,3.40194,2.5231055,4.46504625,9
I,0.825,0.625,0.2625,1.70097,0.9922325,1.85689225,7
F,1.5125,1.1875,0.4375,9.4970825,6.22271525,13.1258185,9
F,1.225,0.925,0.2625,4.195726,2.84912475,7.0590255,7
M,0.925,0.6625,0.1875,1.984465,1.4458245,2.551455,6
F,1.6125,1.275,0.3875,9.695529,6.80388,14.21727425,10
F,1.675,1.375,0.475,11.3398,8.60407325,15.37960375,12
I,1.1125,0.825,0.3,2.9766975,2.381358,3.40194,11
F,0.9,0.6625,0.225,2.08368825,1.0489315,2.721552,10
M,1.55,1.2125,0.5125,10.9145575,7.10154975,10.98543125,14
I,1.15,0.9,0.35,4.53592,2.4664065,4.5642695,9
F,1.4875,1.25,0.45,11.056305,5.443104,12.48795475,13
I,0.9625,0.7625,0.2375,2.551455,1.5592225,2.59397925,14
M,1.1875,0.9125,0.35,5.386405,4.09650275,5.726599,16
I,1.275,1.0125,0.3,6.6621325,3.7137845,6.4920355,11
I,1.325,1.025,0.375,5.37223025,4.32329875,6.90310325,11
M,1.625,1.3,0.4375,9.525432,7.86698625,17.4349425,9
M,1.2,0.9,0.25,3.2601925,2.8066005,5.499803,8
M,1.5125,1.225,0.3625,8.788345,9.31281075,14.6566915,14
M,1.475,1.1625,0.3875,7.7961125,7.41339425,14.86931275,11
M,1.475,1.0125,0.375,6.9456275,7.41339425,9.241937,9
F,1.675,1.3375,0.4625,13.324265,9.922325,17.78931125,21
I,1.125,0.825,0.2875,3.52951275,2.33883375,3.96893,8
I,1.4125,1.1,0.4375,5.953395,5.953395,11.736693,11
M,1.7375,1.425,0.575,14.17475,12.3320325,24.56484175,19
F,1.2875,0.9875,0.35,6.23689,3.55786225,7.9662095,12
F,1.3125,0.975,0.3375,5.953395,3.7137845,6.42116175,16
I,1.425,1.1125,0.3875,7.93786,4.83358975,10.50348975,9
M,1.525,1.1875,0.3875,7.540967,6.463686,12.94154675,10
M,1.5375,1.175,0.4375,8.9867915,8.1363065,16.08834125,11
F,1.775,1.375,0.425,12.757275,9.7805775,21.0636785,11
I,0.8875,0.675,0.25,2.1262125,1.0489315,2.3530085,10
M,0.95,0.7125,0.25,2.1262125,1.7293195,3.2601925,11
M,1.25,1.05,0.3375,5.85417175,4.01145425,8.561549,9
M,1.4625,1.1875,0.375,8.17883075,5.6415505,15.06775925,10
I,1.3375,1,0.3625,6.23689,3.86970675,8.68912175,10
M,0.4875,0.3625,0.125,0.340194,0.226796,0.283495,4
I,1.125,0.8375,0.2875,3.118445,2.0128145,5.5281525,7
M,1.85,1.4875,0.475,14.3164975,14.50076925,32.58775025,11
M,1.45,1.15,0.4125,12.3320325,5.57067675,13.4093135,16
